ground_truth,summary_type,textrank_rouge1,textrank_rouge2,textrank_rougeL,lexrank_rouge1,lexrank_rouge2,lexrank_rougeL,textrank_precision_1,textrank_recall_1,lexrank_precision_1,lexrank_recall_1
gpt-4o-mini,overall,0.17630853994490356,0.0221606648199446,0.10468319559228652,0.1694915254237288,0.0,0.07344632768361582,0.25396825396825395,0.1350210970464135,0.2564102564102564,0.12658227848101267
groq-llama,overall,0.1407624633431085,0.011799410029498523,0.11143695014662758,0.1566265060240964,0.0,0.07228915662650602,0.19047619047619047,0.11162790697674418,0.2222222222222222,0.12093023255813953
